@RELATION knnBarkDetect
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {barks,junk}

@DATA
0.024343,0.007984,3.214434,0.059619,0.087486,0.184810,0.035648,0.031208,-39.680457,1.163256,-0.664434,-0.008397,0.049987,0.103331,0.143174,0.124431,0.030067,-0.086348,0.021868,0.027652,-0.073619,0.005460,0.004587,0.005377,0.001517,0.001826,0.002652,0.190222,0.001803,0.002802,0.001064,0.003183,0.000583,0.053484,0.029168,0.010927,0.133687,0.036155,0.049093,0.266698,0.138440,0.047093,6.646645,0.595333,0.741962,0.193880,0.155284,0.159155,0.200739,0.149199,0.191204,0.116728,0.158654,0.109915,0.104962,0.011265,0.009318,0.011479,0.002537,0.002164,0.003894,0.058887,0.002783,0.006074,0.001518,0.004316,0.001352,0.015017,barks
0.020627,0.019544,3.101747,0.092589,0.137769,0.118220,0.035803,0.016903,-37.151458,1.514872,-0.689501,-0.205066,0.103951,0.129901,0.284346,0.077053,-0.311976,-0.139623,0.233815,0.122675,-0.105226,0.000781,0.002028,0.004206,0.002302,0.006140,0.019953,0.209090,0.004991,0.001162,0.000638,0.003130,0.000311,0.061703,0.014305,0.026138,0.173668,0.053750,0.080611,0.104294,0.128248,0.020361,8.334049,0.984966,1.082197,0.358929,0.282267,0.186461,0.232092,0.182687,0.268250,0.160803,0.240345,0.160414,0.146897,0.001618,0.007093,0.006112,0.003857,0.009144,0.032055,0.127599,0.007726,0.001453,0.000869,0.003648,0.000473,0.031480,barks
0.015216,0.005539,3.111773,0.075349,0.126366,0.069798,0.047160,0.012409,-38.984798,1.821802,-0.461896,-0.195901,-0.186326,0.011812,0.217426,0.141322,-0.205657,-0.051132,0.049276,0.074486,-0.079235,0.002583,0.002585,0.006008,0.003104,0.010010,0.008167,0.224684,0.003128,0.001801,0.000916,0.004422,0.000982,0.063840,0.013710,0.011892,0.220109,0.047200,0.078995,0.089344,0.164597,0.013215,7.715684,1.114597,0.833783,0.301429,0.258098,0.153988,0.196536,0.212354,0.256075,0.135714,0.136965,0.179230,0.148934,0.004181,0.003396,0.005940,0.004526,0.016073,0.014717,0.117802,0.005755,0.002513,0.001070,0.004465,0.001721,0.029614,barks
0.014112,0.005405,3.115898,0.071647,0.114220,0.073019,0.049924,0.009037,-40.025209,1.428002,-0.314105,-0.065010,-0.034380,0.066594,0.104931,0.081488,-0.056616,-0.019114,0.021405,0.068458,-0.034510,0.004380,0.002739,0.009799,0.004580,0.008306,0.001950,0.227560,0.002438,0.000943,0.000939,0.006576,0.001115,0.065371,0.015648,0.010892,0.266693,0.046198,0.063770,0.113056,0.164436,0.010433,6.958535,0.825621,0.774354,0.357869,0.298429,0.146821,0.158950,0.149336,0.123552,0.104878,0.165958,0.095135,0.127264,0.010349,0.005134,0.015818,0.006617,0.013618,0.003439,0.073501,0.005395,0.001961,0.001225,0.009474,0.001743,0.017564,barks
0.029273,0.006261,3.203702,0.076416,0.104915,0.221572,0.029114,0.044135,-37.172415,1.062624,-0.774079,0.050568,0.215606,0.133632,0.344468,0.094248,-0.181169,-0.081205,0.147295,0.026820,-0.056775,0.000943,0.000782,0.004086,0.004021,0.010822,0.004869,0.192335,0.001398,0.002158,0.001852,0.002997,0.000714,0.054614,0.018795,0.006480,0.100959,0.033157,0.043209,0.203630,0.112033,0.038815,5.376210,0.563368,0.495547,0.132714,0.239226,0.158642,0.201458,0.248437,0.232130,0.201005,0.190413,0.137765,0.097117,0.002091,0.001682,0.005428,0.007049,0.012429,0.007945,0.063678,0.001929,0.003736,0.003234,0.002216,0.000963,0.016574,barks
0.003585,0.014681,3.188631,0.049131,0.093648,0.005607,0.032566,0.000833,-42.089480,1.200887,0.180981,0.222118,0.111884,0.072448,0.036061,0.051631,-0.030805,-0.029037,0.042781,0.016199,-0.022656,0.000184,0.000019,0.004313,0.000171,0.000662,0.000110,0.238043,0.000011,0.000055,0.000250,0.002761,0.000031,0.065664,0.003761,0.024565,0.138028,0.038700,0.073907,0.007004,0.074040,0.000918,6.872384,0.966363,0.162498,0.189626,0.110854,0.081309,0.063146,0.082073,0.063445,0.068120,0.062297,0.048503,0.056354,0.000289,0.000033,0.009021,0.000335,0.000787,0.000169,0.064802,0.000022,0.000096,0.000413,0.003486,0.000060,0.017828,junk
0.002821,0.012316,3.180661,0.048200,0.093560,0.005641,0.033358,0.000944,-42.153349,1.201595,0.190330,0.207346,0.130611,0.060303,0.024241,0.045382,-0.018612,-0.030487,0.036507,0.018002,-0.036133,0.000219,0.000021,0.003531,0.000218,0.000843,0.000113,0.234932,0.000012,0.000069,0.000244,0.002448,0.000032,0.064784,0.002801,0.016889,0.149433,0.037097,0.073555,0.006297,0.096884,0.001061,6.797884,0.966486,0.169477,0.178642,0.134406,0.072113,0.075279,0.087330,0.067520,0.082475,0.056405,0.070479,0.060182,0.000434,0.000030,0.006467,0.000379,0.001034,0.000239,0.062387,0.000025,0.000146,0.000469,0.002303,0.000065,0.017167,junk
0.007766,0.004190,3.072456,0.074593,0.138415,0.013596,0.047049,0.004857,-39.994990,2.031810,0.137940,0.347393,0.159898,0.091672,0.019157,0.078699,0.004666,-0.047369,0.026418,-0.002952,-0.046597,0.002776,0.000617,0.019787,0.002805,0.005655,0.002318,0.260257,0.000456,0.001373,0.003669,0.011415,0.001017,0.073080,0.005918,0.008633,0.277754,0.048470,0.082664,0.019873,0.150554,0.006668,7.359824,1.281860,0.339373,0.241563,0.210453,0.125317,0.101066,0.115250,0.127716,0.111126,0.096809,0.081511,0.095840,0.004804,0.001729,0.034186,0.005611,0.009103,0.004564,0.110726,0.001244,0.002836,0.006569,0.012309,0.003059,0.029287,junk
0.002696,0.011621,3.181376,0.048175,0.092958,0.005080,0.026992,0.000819,-42.174311,1.157605,0.190749,0.185620,0.102946,0.058453,0.021161,0.053119,-0.015220,-0.027513,0.032244,0.028459,-0.039830,0.000163,0.000025,0.002964,0.000107,0.000805,0.000063,0.237695,0.000009,0.000052,0.000214,0.002141,0.000021,0.065550,0.003311,0.015140,0.156333,0.037956,0.073441,0.004967,0.061983,0.000818,6.814492,0.921506,0.179007,0.188467,0.142134,0.077195,0.060086,0.065382,0.070322,0.061211,0.056570,0.052181,0.054938,0.000226,0.000037,0.003761,0.000132,0.001055,0.000118,0.066169,0.000015,0.000077,0.000276,0.002336,0.000031,0.018177,junk
0.013346,0.000477,3.155253,0.065835,0.097044,0.098408,0.035352,0.014778,-43.607589,1.111985,0.274931,0.210558,0.181373,0.033809,0.014311,0.071820,-0.024757,-0.039976,0.049590,0.037434,-0.020768,0.000408,0.000033,0.003736,0.000291,0.001133,0.000418,0.248143,0.000030,0.000120,0.000491,0.003421,0.000078,0.068404,0.021552,0.001076,0.197470,0.057483,0.077402,0.211520,0.136407,0.033966,5.627596,0.933047,0.278415,0.199645,0.160288,0.052172,0.059921,0.096947,0.062433,0.094161,0.072848,0.071920,0.056852,0.001014,0.000063,0.005344,0.000866,0.001848,0.001030,0.088944,0.000089,0.000338,0.001006,0.003566,0.000238,0.024469,junk
